,,,,,학점,,,시험,퀴즈,발표,프로젝트,과제물,참여도,기타,중간고사,기말고사,기타,강의실위치
586,도시⋅공간문화로읽는한국사,11332,서정현,1,3,1344,1344,100,0,0,0,0,0,0,,,,
587,"한국사와상상력,스토리텔링",11333,박초롱,1,3,1635,1635,100,0,0,0,0,0,0,,,,
588,Critical and Creative Textual Studies,11334,Karen Muckenhirn,1,3,2353,2353,100,0,0,0,0,0,0,,,,
643,리눅스와시스템적사고,11356,권진욱,1,3,1344,1344,100,0,0,0,0,0,0,,,,
644,인간관계심리,11358,김지영,1,3,1344,1344,100,0,0,0,0,0,0,,,,
645,정신건강과행복,11359,최소영,1,3,1243,1243,100,0,0,0,0,0,0,,,,
646,프로그래밍을위한컴퓨팅적사고,11361,"박호연/

김영호/

민동보",1,3,,null,30,0,0,0,60,10,0,,,,
647,컴퓨터속의우주,11362,김정리,1,3,1243,1243,40,0,0,35,15,10,0,,,,
648,인권윤리학:정의와사랑,11363,김혜령,1,3,3354,3354,100,0,0,0,0,0,0,,,,
649,빅데이터와젠더,11365,이은아,1,3,2353,2353,100,0,0,0,0,0,0,,,,
650,한국의문화유산역사여행,11366,김수자,1,3,1534,1534,100,0,0,0,0,0,0,,,,
651,사회문제해결을위한R프로그래밍기초,11367,이선복,1,3,,null,100,0,0,0,0,0,0,,,,
652,컴퓨터식문제해결기법,11369,용환승,1,3,1635,1635,100,0,0,0,0,0,0,,,,
